case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage3-round-broad-p3-0041-4b66f980fc1c7372,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_150,development,immediate,joint,True,True,2435.408281,2466.4082842107355,-25,-24,18,0,12332.041421053676,-5,6,6,-3.210735485481564e-06
stage3-round-broad-p3-0041-4b66f980fc1c7372,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_150,development,scan_then_clear,joint,True,True,499.702139,602.7021363476706,0,-4,-99,0,3013.510681738353,0,-33,-33,2.652329385455232e-06
stage3-round-broad-p3-0042-4d34ab5aaa135a01,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_150,development,immediate,joint,True,True,2051.5196539999997,2069.519657865776,0,-15,-3,0,10347.598289328882,0,-1,-1,-3.865776307065971e-06
stage3-round-broad-p3-0042-4d34ab5aaa135a01,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_150,development,scan_then_clear,joint,True,True,884.1435009999996,897.143502029201,0,-4,-9,0,4485.717510146005,0,-3,-3,-1.0292014849255793e-06
stage3-round-broad-p3-0043-fa18dd5fe55f2968,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_150,development,immediate,joint,True,True,2816.671311,2793.6713161021676,0,-19,42,0,13968.356580510837,0,14,14,-5.102167506265687e-06
stage3-round-broad-p3-0043-fa18dd5fe55f2968,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_150,development,scan_then_clear,joint,True,True,949.6105240000006,1000.6105270693065,0,-6,-45,0,5003.052635346532,0,-15,-15,-3.0693058761244174e-06
stage3-round-broad-p3-0044-162e7f6ea35dc171,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_150,development,immediate,joint,True,True,1970.1385889999992,1963.1385916484915,0,-17,24,0,9815.692958242456,0,8,8,-2.648492227308452e-06
stage3-round-broad-p3-0044-162e7f6ea35dc171,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_150,development,scan_then_clear,joint,True,True,460.3441809999995,493.3441775868678,0,-3,-30,0,2466.720887934338,0,-10,-10,3.413131707930006e-06
stage3-round-broad-p3-0045-bb6b9e40df613752,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_300,development,immediate,joint,True,True,764.1290480000007,789.1290515036362,0,-16,-9,0,3945.6452575181793,0,-3,-3,-3.50363552570343e-06
stage3-round-broad-p3-0045-bb6b9e40df613752,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_300,development,scan_then_clear,joint,True,True,586.6569230000005,584.6569237363065,0,-4,6,0,2923.2846186815295,0,2,2,-7.363059921772219e-07
