case_id,mode,source_distance_m,true_angle_deg,first_error_deg,first_report_deg,second_error_deg,receiver_radius_m,q_x,q_y,second_response,safety_certificate,movement_m,movement_and_second_measure_s,crossing_acute_angle_deg,posterior_diameter_m,posterior_mec_radius_m,direction_outcome_bound_m,mec_center_error_m,certified_clear_after_two,extra_clear_movement_m
d300_a0_e0,estimated,300.0,0.0,0.0,0.0,0.75,1000.0,721.8211308091836,159.1479957554249,direction,Q_safe,739.1575132782033,152.83150265564066,20.67088275709699,70.99563804797754,35.49781902399376,172.89590806730575,16.054719568376992,False,
d300_a0_e0,active,300.0,0.0,0.0,0.0,0.75,1000.0,375.0,225.0,direction,convex_hull_first_station_and_Q_safe,437.3213921133975,92.4642784226795,71.56505117707793,16.100571777245964,8.0502858886274,241.9103211568431,3.1883134200285803,True,223.0229286208125
d300_a0_e1,fixed,300.0,0.0,1.0,1.0,0.75,1000.0,692.9124240345604,412.15576256865495,direction,Q_safe,806.2257748298549,166.24515496597098,46.36926560053302,39.234993616360846,19.6174968081852,111.6672558693896,16.27052651621951,True,552.8568991347225
d300_a0_e1,estimated,300.0,0.0,1.0,1.0,0.75,1000.0,721.6858947833327,177.54852987719914,direction,Q_safe,743.2052281777721,153.64104563555443,22.833258795124554,67.89465112295781,33.94732556148405,167.98139298877288,28.617766437598554,False,
d300_a0_e1,active,300.0,0.0,1.0,1.0,0.75,1000.0,371.016094235258,231.51038382416934,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,72.9465406712101,16.06695870441907,8.03347935221395,241.7188640438828,7.22932911358479,True,222.5155731121845
d300_a0.0049_e-1,fixed,300.0,0.0049,-1.0,359.0,0.75,1000.0,706.8743491843873,387.72239355645803,direction,Q_safe,806.2257748298549,166.24515496597098,43.61248865359234,39.73861194277309,19.869305971391185,112.20357240224872,7.079757648727739,True,560.7709935365305
d300_a0.0049_e-1,estimated,300.0,0.0049,-1.0,359.0,0.75,1000.0,721.6858947833327,140.81998142704794,direction,Q_safe,735.2964013908498,152.05928027816998,18.45845842995841,74.66029523912438,37.33014761956702,175.58841794431993,5.192701219772971,False,
d300_a0.0049_e-1,active,300.0,0.0049,-1.0,359.0,0.75,1000.0,371.0160942352579,-231.51038382416937,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,72.95322047890295,16.204631413705957,8.102315706857306,241.71886404388374,5.615302597455347,True,224.5936041154786
d300_a0.0049_e0,fixed,300.0,0.0049,0.0,0.0,0.75,1000.0,700.0,400.0,direction,Q_safe,806.2257748298549,166.24515496597098,44.993262362499024,39.480994510326184,19.740497255167803,111.91092581755662,10.246369302842059,True,556.6702555819759
d300_a0.0049_e0,estimated,300.0,0.0049,0.0,0.0,0.75,1000.0,721.8211308091836,159.1479957554249,direction,Q_safe,739.1575132782033,152.83150265564066,20.662932004323714,70.99563804797754,35.49781902399376,172.89590806730575,16.053758118561987,False,
d300_a0.0049_e0,active,300.0,0.0049,0.0,0.0,0.75,1000.0,375.0,225.0,direction,convex_hull_first_station_and_Q_safe,437.3213921133975,92.4642784226795,71.55819072445966,16.101467802531086,8.05073390126996,241.9103211568431,3.1443300284730378,True,223.03645322079814
d300_a0.0049_e1,fixed,300.0,0.0049,1.0,1.0,0.75,1000.0,692.9124240345604,412.15576256865495,direction,Q_safe,806.2257748298549,166.24515496597098,46.36258419275633,39.234993616360846,19.6174968081852,111.6672558693896,16.261349071063943,True,552.8568991347225
d300_a0.0049_e1,estimated,300.0,0.0049,1.0,1.0,0.75,1000.0,721.6858947833327,177.54852987719914,direction,Q_safe,743.2052281777721,153.64104563555443,22.825397604788172,67.89465112295781,33.94732556148405,167.98139298877288,28.612120711184414,False,
d300_a0.0049_e1,active,300.0,0.0049,1.0,1.0,0.75,1000.0,371.016094235258,231.51038382416934,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,72.93986000655187,16.067832411819417,8.033916205914146,241.7188640438828,7.181082389436225,True,222.52876084616057
d300_a90_e-1,fixed,300.0,90.0,-1.0,89.0,0.75,1000.0,-387.722393556458,706.8743491843873,direction,Q_safe,806.2257748298549,166.24515496597098,43.61928227531109,39.73861194277339,19.869305971391306,112.20357240224983,7.061611067052904,True,560.770993536531
d300_a90_e-1,estimated,300.0,90.0,-1.0,89.0,0.75,1000.0,177.54852987722586,721.6858947833309,direction,Q_safe,743.2052281777767,153.64104563555534,22.833258795127733,72.482091900722,36.24104595036573,167.98139298875142,6.696626409941396,False,
d300_a90_e-1,active,300.0,90.0,-1.0,89.0,0.75,1000.0,231.51038382416937,371.0160942352579,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,72.9465406712101,16.204631413705076,8.102315706856865,241.71886404388073,5.590908183787805,True,224.59360411548386
d300_a90_e0,fixed,300.0,90.0,0.0,90.0,0.75,1000.0,-399.99999999999994,700.0,direction,Q_safe,806.2257748298549,166.24515496597098,44.99999999999998,39.480994510327356,19.74049725516836,111.910925817556,10.247169628602675,True,556.6702555819776
d300_a90_e0,estimated,300.0,90.0,0.0,90.0,0.75,1000.0,159.1479957554244,721.8211308091813,direction,Q_safe,739.157513278201,152.8315026556402,20.670882757097026,76.09962483622841,38.0498124181188,172.89590806730567,17.44086083845884,False,
